name,brand,category,description,quantity_value,quantity_unit,price,sale_price,currency,is_on_sale,is_organic,is_available,search_aliases,image_url,source
"Baby Wipes - Sea Breeze, No Paraben, Double Moisturising",,other,,80.0,pcs,154.35,105.0,INR,True,False,True,"{""baby wipes - sea breeze, no paraben, double moisturising"",""double"",""paraben,"",""wipes"",""breeze,"",""baby"",""moisturising""}",https://loremflickr.com/400/400/wipes?lock=6274,bigbasket_dataset
New Xtra Large - 7 Diaper Pants,,other,,7.0,pcs,149.0,149.0,INR,False,False,True,"{""large"",""diaper"",""xtra"",""new xtra large - 7 diaper pants"",""pants""}",https://loremflickr.com/400/400/diaper?lock=2598,bigbasket_dataset
"Choco Mocha Cold Coffee - Flavoured Milk, Ready To Drink",,other,,180.0,ml,44.4,40.0,INR,True,False,True,"{""mocha"",""ready"",""choco mocha cold coffee - flavoured milk, ready to drink"",""choco"",""drink"",""coffee"",""cold"",""milk,"",""flavoured""}",https://loremflickr.com/400/400/coffee?lock=6675,bigbasket_dataset
Intense Coffee & Milk Beverage Flavoured Milk - Cappuccino Flavour,,other,,180.0,ml,69.55,65.0,INR,True,False,True,"{""cappuccino"",""intense coffee & milk beverage flavoured milk - cappuccino flavour"",""beverage"",""coffee"",""intense"",""milk"",""flavour"",""flavoured""}",https://loremflickr.com/400/400/coffee?lock=62,bigbasket_dataset
"Cheese Slice - Plain, Made from Cow's Milk",,other,,476.0,g,441.35,339.5,INR,True,False,True,"{""cheese"",""from"",""plain,"",""slice"",""milk"",""cow's"",""cheese slice - plain, made from cow's milk"",""made""}",https://loremflickr.com/400/400/milk?lock=3701,bigbasket_dataset
Biscotti - Almond,,other,,150.0,g,169.58,139.0,INR,True,False,True,"{""almond"",""biscotti - almond"",""biscotti""}","https://loremflickr.com/400/400/grocery,product?lock=9590",bigbasket_dataset
Creamy Vanilla Ice Cream,,other,,1.0,l,240.0,240.0,INR,False,False,True,"{""vanilla"",""creamy"",""creamy vanilla ice cream"",""cream""}","https://loremflickr.com/400/400/grocery,product?lock=3126",bigbasket_dataset
Rajbhog Ice Cream,,other,,1.0,l,330.0,330.0,INR,False,False,True,"{""cream"",""rajbhog"",""rajbhog ice cream""}","https://loremflickr.com/400/400/grocery,product?lock=9981",bigbasket_dataset
"Cheddar Cheese Cubes - Processed, Premium",,other,,200.0,g,175.0,175.0,INR,False,False,True,"{""processed,"",""cheddar"",""cheese"",""premium"",""cheddar cheese cubes - processed, premium"",""cubes""}",https://loremflickr.com/400/400/cheese?lock=4929,bigbasket_dataset
The Laughing Cow Mozzarella Cheese - Diced,,other,,1.0,kg,864.0,540.0,INR,True,False,True,"{""laughing"",""the laughing cow mozzarella cheese - diced"",""cheese"",""diced"",""mozzarella""}",https://loremflickr.com/400/400/cheese?lock=5173,bigbasket_dataset
