Product Name,Category,Quantity,Original Price (Rs.),Discount,Discounted Price (Rs.)
"Baby Wipes - Sea Breeze, No Paraben, Double Moisturising",Deals of the Week,80 pcs,154.35,47% OFF,105.0
New Xtra Large - 7 Diaper Pants,Deals of the Week,7 pcs,149.0,0% off,149.0
"Choco Mocha Cold Coffee - Flavoured Milk, Ready To Drink",Deals of the Week,180 ml - Tetra Pack,44.4,11% OFF,40.0
Intense Coffee & Milk Beverage Flavoured Milk - Cappuccino Flavour,Deals of the Week,180 ml - Can,69.55,7% OFF,65.0
"Cheese Slice - Plain, Made from Cow's Milk",Deals of the Week,476 g - (28 Slices),441.35,30% OFF,339.5
Biscotti - Almond,Deals of the Week,150 g,169.58,22% OFF,139.0
Creamy Vanilla Ice Cream,Deals of the Week,1 L - Tub,240.0,0% off,240.0
Rajbhog Ice Cream,Deals of the Week,1 L - Tub,330.0,0% off,330.0
"Cheddar Cheese Cubes - Processed, Premium",Deals of the Week,200 g,175.0,0% off,175.0
The Laughing Cow Mozzarella Cheese - Diced,Deals of the Week,1 kg - Pouch,864.0,₹60 OFF,540.0
Antiseptic - Disinfectant Liquid,Deals of the Week,50 ml - Bottle,24.9375,5% OFF,23.75
"Foam Shave - Lathers Quickly & Hydrates, Regular",Deals of the Week,418 g,279.0,₹24 OFF,225.0
"Toothbrush - ZigZag, Soft Bristles",Deals of the Week,1 pc,35.0,0% off,35.0
Neem Naturals - Aloe Vera & Jasmine,Deals of the Week,100 g,41.794200000000004,7% OFF,39.06
Happy Naturals Yuzu & Bergamot Fragrance Shower Gel,Deals of the Week,500 ml,454.09000000000003,30% OFF,349.3
Organic Wheatgrass Powder,Deals of the Week,75 g,132.66,34% OFF,99.0
Neem Naturals Almond Oil & Rose,Deals of the Week,100 g - (Buy 4 Get 1 Free,191.16,₹18 OFF,162.0
Perfumed Deodorant Body Spray - Lace Satin (Women),Deals of the Week,150 ml,199.0,0% off,199.0
Fruit Power Juice - Masala Pomegranate,Deals of the Week,1 L,105.0,50% OFF,70.0
"Instant Energy Health Drink - Mango Blast, Refill",Deals of the Week,75 g - (Get 50 g Free),50.0,0% off,50.0
Icey Rose Vanilla Sparkling Iced Tea,Deals of the Week,330 ml - Can,99.0,0% off,99.0
Icey Strawberry Lemonade Sparkling Iced Tea,Deals of the Week,330 ml - Can,99.0,0% off,99.0
Icey Lemon Ginger Sparkling Iced Tea,Deals of the Week,330 ml - Can,99.0,0% off,99.0
Premium Black Leaf Tea,Deals of the Week,250 g,230.0,0% off,230.0
Packaged Drinking Water,Deals of the Week,1 L - Bottle,20.0,0% off,20.0
Digest Chai Flavoured Black Tea - With Prebiotic Fibre,Deals of the Week,200 g,192.0,20% OFF,160.0
Pink Paloma Cocktail Mixer - Non-Alcoholic Fruit Beverage,Deals of the Week,250 ml - Bottle,99.0,0% off,99.0
Premium Black Leaf Tea,Deals of the Week,500 g,322.9575,49% OFF,216.75
